,mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
0,-114.33759111729778,-121.4848875719346,-123.82035936747933,-131.46616894860475,-135.13816304624385,-123.12379669021314,-128.6654181587703,0.9110956810037484,-108.58127615106308,-117.43022278088245,-122.66906722152636,-130.03948944885633,-135.11115622997065,-120.68159786724571,-126.58975417545818,0.8932023175187356,-108.65194031113543,-118.526255631692,-122.12488611253876,-129.77315861045136,-134.43422932689649,-120.73873594481849,-125.32104289269162,0.8981249533645526,-114.65702270939757,-121.01570238266964,-122.26511645620856,-130.0365075739962,-134.26012218008836,-121.97582897307328,-128.04595743368094,0.9085037834947172,-116.03434609792762,-122.7347994813274,-124.8721370735698,-132.23448147650092,-134.90377981693595,-124.0454774145398,-129.4829962373901,0.9195107622845642,-113.3648055848442,-121.23731364436942,-124.26782125285922,-131.44569913365828,-134.81770470596211,-123.03074181314751,-127.31501801709214,0.9125711054158502,-111.9347213704709,-120.17862024728004,-122.35765488161896,-129.9799414418923,-134.69078564941532,-121.6054167082221,-125.90432281539476,0.9028488186619318,-115.9803244571678,-121.69112732865392,-122.23336804485729,-128.2186829272257,-129.73680957575647,-122.57629987342364,-126.83956123751496,0.9448074164475918,-111.79449884742816,-124.1540212221903,-128.69337496232163,-134.5690178651453,-137.36574900006448,-127.11763419623396,-134.42240704468162,0.9253954142249412,-118.26439878117556,-123.35180236081762,-127.84855376481798,-135.00160869118895,-137.5339361998417,-126.07248141168118,-132.7041507669473,0.9166645330974414,-115.68591771735788,-119.33355149560909,-121.95236522345316,-131.03497985503537,-135.84164272325816,-121.45227768648004,-127.2539953916522,0.8940725042165996,-114.14714217499974,-119.25830628484913,-122.0168654475433,-131.31740889572808,-134.5996219799507,-121.30641159099795,-127.70113105447884,0.9012388727887152,-118.95428378461068,-126.18593851970566,-128.1270579112861,-135.05604007624538,-137.5931267266012,-127.37943913878031,-133.83705338844842,0.9257689113489254,-116.98963248072631,-126.49020803406466,-125.66268256113554,-133.57584200238867,-138.7315045211661,-126.24722719462072,-130.93862258359172,0.9100112309050852,-116.33980935557486,-120.32326101690457,-122.02218267768664,-131.22548517107668,-135.09883771432385,-121.7333081490192,-127.1693728606438,0.9010685081276048,-112.18973724925618,-120.50023454021988,-121.61562074349663,-128.68605097552154,-131.71349402315613,-121.68728453212732,-127.30457655713803,0.9238786461069346,-115.83160080362856,-121.34683617971795,-122.3969955447493,-131.2643090327646,-135.77810836651372,-122.33058454899914,-127.8167280835197,0.9009595583610952,-0.0024256077779333,-0.0011507749353044,-0.0035763827132378,-0.0029914358410153,0.0108630940739107,0.0078716582328954,1,1
1,-114.8342130149564,-121.300500894631,-123.77372953436168,-130.79376637870033,-134.5951393556382,-123.23180357576616,-128.9417486610049,0.915573951375414,-110.15196752240806,-120.51437028554555,-120.42398118039978,-128.5736361752135,-133.6106732739873,-121.07649880577158,-127.33710817322472,0.9061888233845462,-108.41539662411807,-118.69973579707089,-121.22364444308522,-128.32428660128238,-133.4140197270943,-120.94157534828042,-126.58671722508768,0.9065132404800712,-114.16828941667322,-120.28982383200676,-122.46266259739107,-128.74068215956797,-133.13418133748823,-122.20121957490775,-128.14459154612535,0.9178801292594726,-115.58390897639046,-122.6607126088274,-125.24114465134144,-130.6395413504807,-134.23695866400854,-124.4761403881731,-130.90932449011896,0.9272866550838172,-115.35404101431254,-121.4062222034617,-123.89208549709728,-130.22742611203213,-133.25576716287688,-123.55112709329984,-128.59699603175184,0.9271728325445368,-115.23434009368216,-119.5159814272845,-122.42559221862902,-128.3653253084018,-133.5067884670242,-121.94015817832324,-127.31533469029164,0.913362980103758,-114.11621546355956,-119.62374703362627,-123.50183425865752,-129.06021474827222,-131.29411468684364,-122.27046938982144,-127.21387428746613,0.931271517245499,-119.33691603598714,-122.96620866777825,-129.14582192731763,-133.10950862346326,-136.9489476636078,-126.96067932693356,-131.7363732156573,0.9270657532819546,-117.9347087082543,-124.68473131295248,-127.12540430322112,-133.05637956815696,-137.3662427661447,-126.5818836770564,-131.6558335956707,0.9214919264593424,-116.75669845256394,-121.2224493451752,-121.36463471995108,-129.97206888016197,-135.31810484334608,-122.1003899717544,-127.6484825498746,0.9023211647333264,-108.14387759249128,-117.28043331025168,-122.54336301273236,-130.39492195052776,-133.79419820213113,-120.898426995747,-126.61130003190424,0.9036148698548072,-117.58787023720944,-123.97000182907313,-128.85852016464426,-134.73507493452314,-136.9520260694201,-127.07648637957828,-132.4487249048779,0.9278905177727276,-118.64028282356684,-122.68631700477648,-123.88605941100596,-132.72787373758004,-137.60422463759335,-123.58272370748838,-129.840343881077,0.8981026856767427,-117.57336232118752,-121.20177197906992,-121.7799469397919,-130.47669524816234,-135.06069287632556,-121.74515349706024,-127.63697217732604,0.901410698437196,-112.28340931680911,-120.05925175608176,-123.1689642919018,-131.77349525041137,-132.90519728479083,-122.4813569613377,-128.9807238182917,0.921569355176406,-116.06612364008886,-124.02625592111376,-123.3360129326193,-132.52313141096786,-135.12009202752898,-123.824567916725,-130.40527795733277,0.916403815736725,-0.0054150108897169,-0.0087280204089238,-0.0141430312986408,-0.0015797908123717,0.0035202335365955,0.0019404427242238,1,1
2,-113.31164583878336,-120.731546341995,-124.30260236813947,-130.49704797933714,-134.41300680551132,-123.3354326164124,-130.70307659290108,0.9175855488068384,-111.6324940641046,-117.8151875809002,-121.98509364080496,-127.66196259612688,-132.90095307938205,-120.77547626616656,-129.49594513876886,0.9087630560032708,-106.63245322160246,-120.5134481116866,-121.92715216600624,-128.35893656206258,-131.8811737830758,-121.8428344512514,-129.41979400333375,0.9238834547504412,-105.68471313361972,-118.09460622382704,-123.03122599344584,-128.85506876430676,-133.69920740248855,-121.5132556060392,-130.33245104878264,0.9088554671848972,-113.7435803215738,-123.77033368801769,-124.80665990555528,-129.02286947943082,-134.0657396865599,-124.72400898573002,-131.4826050307038,0.9303197765314952,-116.79473650094934,-121.99885746978698,-123.83777081727716,-129.09529779628693,-132.02911262123666,-123.5726046928976,-130.00633200187795,0.9359496723075088,-113.96951445549183,-120.0118311199864,-122.57584769613293,-128.62549074812907,-132.69931300063496,-122.03843677226502,-128.5060009529565,0.9196614060216052,-113.68294808180624,-120.05643390725704,-123.8197586666951,-130.645905833247,-131.02884529624313,-122.91255642898176,-131.94191636649327,0.938057235802458,-118.17018162560557,-125.21999883961188,-126.1468601994268,-134.03058467654188,-137.66819646805345,-125.8422480018364,-134.56555324060963,0.9140981812094756,-116.63715797958594,-123.92985887300996,-128.9886448508317,-134.01676690977968,-136.94045491601207,-127.23967051000476,-133.1229511336017,0.929160565356987,-116.6561349493877,-120.68978100276247,-122.74251927903656,-131.13578136194872,-135.19384054389113,-122.58793930535022,-129.78727432732353,0.9067568375317486,-110.91010644064065,-119.88282239364383,-124.53019918845789,-130.24615286820347,-134.13059133702205,-123.17613779874236,-130.23154166685129,0.9183299392846552,-117.05717009819487,-125.48053969635016,-129.36210497886503,-133.73835239089445,-137.17476360934532,-128.37984084701625,-133.67942631019667,0.935885271234177,-106.57020143372422,-113.64392042055852,-120.01263293904144,-130.29262271066057,-137.73941144242295,-118.03434539676084,-126.27247289500954,0.8569395219617363,-115.3543471000857,-119.39798021810093,-123.58683838554042,-130.53318023400968,-134.86185375192548,-122.73067275175956,-130.8055959711955,0.9100473509545488,-115.18542893430576,-121.09226603598816,-126.05017290358867,-130.24971869774907,-133.83085331653595,-124.22650703646826,-129.67680001646931,0.9282351861169744,-114.3051650798556,-120.10687589043232,-125.43815627952546,-131.4440760400164,-134.76379863335166,-123.77038701132808,-131.92256538224336,0.9184245937446964,-0.0038966852603996,-0.0043690356717731,-0.0082657209321727,0.000280601391295,0.0018713132073918,0.0021519145986869,1,1
3,-113.70798776567987,-122.21036709086168,-123.56867216282276,-128.6506299064561,-135.15386045095303,-123.30723408382552,-127.72314097222105,0.9123471107107104,-109.53551771996273,-119.06318315582968,-119.44798695090287,-126.55030585666546,-133.85876869552936,-119.31792908534486,-127.05714242313,0.8913717812296734,-107.09859065580952,-119.06313320139364,-119.13835909412606,-125.46992533866486,-133.86911489552878,-119.41377478249198,-124.19413323534044,0.8920188564455833,-111.09113231942028,-120.13602060377524,-120.46272349133788,-126.81400236129024,-134.0242573624321,-120.46199395530816,-127.14429504524796,0.8988073974515783,-114.97844264455492,-122.0757970490536,-123.78588182963358,-128.45094402968527,-135.67725252809598,-123.21586528112172,-129.14781057191715,0.90815418933698,-115.43263091748685,-122.04732203563252,-122.50594227924616,-126.98744115258854,-135.62453053182423,-122.85676103440726,-126.71185090276148,0.9058594382052366,-115.12469376689214,-121.92351304659763,-122.09022468823098,-126.07931718028216,-135.3899982568479,-122.49389908897751,-125.3829941235658,0.9047485092406512,-113.20894272179562,-121.24153181886828,-121.71832563484058,-127.20597391746274,-131.40113116795652,-121.84211815557272,-126.75417269043912,0.9272531908407584,-118.4901987673709,-124.52386195695316,-127.67654689520924,-132.56859648376283,-137.43205968850532,-126.75911820877754,-131.06524308881112,0.9223402348482704,-116.1417433409976,-124.88097264965124,-129.2669729470691,-132.19641701025677,-138.4404438092646,-127.90697772965112,-129.14650833794678,0.9239133753852604,-114.69714035377378,-122.72166725615816,-124.3192056238722,-128.12913047818262,-136.27216710932183,-124.17165850191992,-125.80927204025517,0.9112033743640804,-112.25834341750092,-122.4625238570484,-121.73224865028104,-128.45236374574165,-133.56560115201404,-122.40704491358385,-126.95690467790726,0.9164563619510804,-117.80678937312254,-127.9281881353542,-126.11655802951822,-132.4959573080002,-136.69403881995635,-127.05988453154512,-130.605070021629,0.929520304092407,-105.99638729092172,-118.09822404219524,-122.69612834412784,-129.89033890636216,-136.40691906299287,-120.57304365718724,-127.09457597856758,0.8839217576749642,-117.67133717316533,-123.09934299161743,-126.2385334761586,-128.8203822459977,-135.86361662235828,-125.095832345188,-128.37013843272192,0.9207456378325328,-115.79834944620252,-122.32708974248844,-124.006831699278,-128.65804001476045,-132.44879257880572,-123.94492969395878,-128.27942004019235,0.935795089413237,-113.99756434190112,-123.77350191116972,-125.89628497133184,-129.64094247359353,-135.49307493381443,-125.39491437617286,-129.8507239451038,0.9254710208431368,-0.0051968414096506,0.0105710700953861,0.0053742286857354,-0.0057293772666641,0.003615470590716,-0.0021139066759481,1,1
4,-114.76143733310958,-119.99711682165136,-123.27949816467309,-130.62367133481962,-135.18208307767182,-122.31802955725205,-129.80834543049622,0.9048390642639492,-109.29344015844045,-117.07832364604428,-119.42561801466998,-128.96880708798628,-133.42324511633325,-118.89698791006896,-127.86342296297614,0.8911264885395445,-107.72953374205892,-115.54864202883378,-119.72023456721035,-128.80033217054387,-133.2972580650852,-118.7666113470142,-128.09973999100612,0.8909906555543993,-111.34365138657004,-116.87367439847844,-121.06502868942889,-128.71912214930333,-132.4156671098353,-119.7885787719605,-126.89905646590616,0.904640526204494,-115.3436365493526,-119.13676313647818,-122.62959384988004,-130.87183165854617,-134.5432677824992,-121.73290823270992,-129.9598931607567,0.9047863207061514,-114.36928842595414,-119.71129403234126,-122.92415277303058,-129.00102062208322,-135.28576510388478,-122.16881457082847,-131.8087856912177,0.9030426407169748,-115.66241875554982,-117.75813748445042,-121.2814140530688,-128.65998475300313,-134.23916264087111,-120.39932736770676,-129.20094353786178,0.8969016567081102,-114.0687615703405,-119.04069419606137,-122.74126378429708,-128.8888924754309,-131.3976288717411,-121.77772002987564,-128.4629610394441,0.926787804890638,-112.6558821162256,-121.96096688617456,-127.61106005501392,-133.81107022943084,-137.82646172906888,-125.69633452602343,-132.2705231637069,0.9119898526678416,-119.40948170322136,-122.75104976747336,-128.28417127534294,-133.0659607940798,-138.2788878232097,-126.2548175127604,-131.99955164885083,0.9130447857967868,-116.24420400326322,-118.89201533150708,-122.15259217881714,-131.2119482739743,-136.30438352481772,-121.36851575986604,-129.27577855258593,0.8904226894343994,-115.4973713359839,-120.12158718390644,-122.58631790210777,-129.7418645666079,-135.10225908648746,-122.03416346341876,-128.026568677636,0.9032725602707872,-119.59332893677296,-126.4452985478922,-128.87488886920062,-133.84301760179486,-138.86660982333424,-127.9948071764314,-131.98884404830906,0.9217104625745964,-114.7754214378548,-123.94178634638592,-124.50383122569475,-132.52073521645494,-137.40026395533346,-124.1045582492182,-130.4732902412832,0.9032337688198514,-118.7434260301295,-120.14095345026796,-122.21620710412276,-130.72448478623377,-135.55694632090962,-121.59391134489684,-129.7401020708799,0.8969950610796625,-114.0026761864438,-120.40853203799756,-123.17398701744452,-129.67555085582967,-133.47587983964792,-122.34605943834316,-129.55126339715437,0.9166154932660818,-117.45047499159156,-120.14415067212865,-123.28160927543892,-131.47411811581134,-135.49964244969073,-122.1643572149096,-131.31280223836438,0.9015843511193594,0.0011995700623655,-0.0024037826639823,-0.0012042126016168,-0.007198947562413,0.0089313659727133,0.0017324184103003,1,1
5,-112.53034710661302,-120.0216389677402,-126.01312677381608,-131.32132291923185,-134.49465445002045,-123.71183255125445,-129.00951495021084,0.9198271340756295,-109.69648958470968,-118.14576463328758,-124.94067869949146,-129.17463050587148,-132.94132163495505,-122.19686201417828,-127.2245496002988,0.9191789318126375,-107.53811041201686,-115.52612502745995,-123.86906966412734,-130.63721114402983,-132.75654334608456,-120.76197803258924,-128.3880329299249,0.9096499124549624,-111.42592037807265,-118.86267600267404,-125.09378667495572,-129.4568449177849,-133.8688564862969,-122.81814393891356,-127.63277671020889,0.9174512068196048,-114.13915389923044,-120.573413330528,-126.96017316775072,-131.1565544366233,-134.3771398037457,-124.60644509042768,-129.44927479662402,0.9272890111548148,-113.73816895879156,-118.95710050977772,-126.73354608597784,-132.51657546294788,-134.2184473351184,-123.738388568338,-130.82736206962392,0.9219178959758516,-112.10648330872596,-118.00893832926954,-125.83959008199184,-131.25029276213067,-134.03227562868867,-122.74065636896484,-129.75028585836452,0.9157544762501448,-112.13736237626664,-120.2444125410753,-125.64038406038446,-129.7643714592997,-131.29142264033865,-123.84042237256573,-128.22662020041952,0.9432483850206704,-114.0962852651308,-124.1094363155269,-129.17301112956537,-134.09182610298856,-137.69141824207082,-127.69672605208,-132.76149294252258,0.9274123811229872,-116.35679427971117,-125.27505602531804,-129.5307029033258,-135.4407863911109,-137.1298424359137,-127.56511980604763,-134.1637920663731,0.9302506116833318,-115.67682631766468,-120.9995036783797,-127.49476171853225,-131.81266797029528,-135.20928694658954,-124.58419258729246,-129.25775884508863,0.921417421841044,-111.58079612390478,-118.85527685905926,-125.21780817920003,-130.86080103846908,-134.1852342346763,-122.89186575975576,-127.60465101367656,0.9158374724362772,-115.16222084976184,-124.9451223450143,-128.61703790176932,-134.53998622730154,-137.89010628355436,-127.4697369312372,-132.2106520009831,0.924429898321429,-108.45775015414956,-116.55466471659128,-119.93129549414556,-126.45433506672929,-132.1005242355667,-118.7063719954662,-123.95886296030088,0.8986063657384469,-116.41598665602513,-120.48157962498446,-127.420657224786,-131.5123507976928,-134.71816792389637,-124.21737965906212,-127.62197557276956,0.9220536589336172,-107.8015498505668,-118.88398430864152,-123.04912956437346,-130.61447846571008,-133.25506602412787,-121.35294232313473,-127.26317136182688,0.9106816419359388,-114.15565529108,-119.92316923625584,-126.69839583068006,-131.85745395872442,-136.24881799870371,-124.20208932001788,-127.81098027436792,0.9115828756855676,-0.0008933097848836,0.0073256428001797,0.0064323330152961,0.0051579811217115,0.0078305669162025,0.012988548037914,1,1
6,-112.61946336751636,-121.9003405647984,-124.9787593646627,-129.82803785100157,-135.38293950747388,-124.08111722458789,-129.8797396720937,0.9165195974913656,-107.9212618656284,-119.33913102309062,-121.09350913414768,-127.5789479978531,-134.05714497470413,-121.61047147429862,-129.43877862208245,0.9071539715189808,-107.068643982292,-118.34736094846676,-122.33967638033296,-126.08291891420711,-133.02501152112703,-121.73433687413691,-127.97237010503748,0.9151236709707262,-105.8810564239244,-119.49593661587636,-122.3347289794274,-127.80525034067551,-133.23628149308277,-121.6911235472411,-128.8016091498152,0.9133482425622854,-116.2094767787687,-123.40586289742885,-124.01744152497064,-129.1442976006675,-135.2752418717415,-124.59372410629014,-132.168909635617,0.9210386348776308,-113.2700408414064,-123.93793785051496,-124.77451472895446,-127.43854190056182,-134.6460220854671,-124.89496178513286,-129.99903731285067,0.9275800343054716,-109.46057519643536,-121.68624678437924,-123.07764769284492,-127.02773658879087,-134.08951911942052,-123.05114705227476,-128.74985340986396,0.9176790837968852,-112.4375081059274,-121.58564188934766,-126.37291565231844,-128.78236555466472,-131.9343235582651,-124.35324628175728,-127.96285262599544,0.9425390067417908,-113.88040388289838,-125.1875541970474,-129.76126606529203,-133.13153731118746,-136.94629659131186,-127.939201152983,-132.89777856796383,0.9342289958726764,-114.55283866916622,-125.65159670644516,-128.70875533664585,-133.0667819358298,-138.49163494072812,-127.4038868885144,-132.1630997415877,0.919939221910702,-110.7296384894758,-120.93285795077676,-123.45624267737054,-130.23786555214187,-136.3403247333397,-122.71033483949569,-128.69570917817526,0.9000296506517631,-112.7791949389758,-121.00304793557368,-124.23702536817582,-129.68227274483866,-133.92970015930226,-123.02435851865827,-128.02561064151672,0.918574135328664,-118.90270090141917,-125.10227516397026,-129.8942343711044,-134.3322365520671,-137.854038823016,-128.2213223053599,-133.38637184467916,0.9301237990566016,-115.59003836111194,-121.30682115425844,-127.2726701898744,-131.99813245355563,-138.47593393400223,-125.00000725578984,-130.4478881796296,0.9026839805634744,-113.77093714749228,-121.1579711539578,-123.75386341971424,-129.62211440087225,-135.97162813012957,-122.67197821951396,-128.67741058777625,0.9021880513345965,-114.91747999830432,-121.22245787930297,-124.40757192724098,-130.488799640715,-134.776210855745,-123.2848226183872,-128.909537768924,0.9147372658394636,-114.53961829703567,-121.04274888633786,-124.15808638618836,-130.82880612739635,-137.0777193281993,-123.11295267357168,-129.77901738198454,0.8981251896875205,0.0030429971104496,-0.0116746699802706,-0.0086316728698209,-0.0066479726525027,0.0056192521767806,-0.0010287204757221,1,1
7,-113.77340632230644,-120.26389597821738,-124.73645280604528,-130.6731154537984,-135.08650818529583,-123.07201875410644,-127.93045553399818,0.9110607743690486,-108.5499644947517,-117.53583923112105,-123.20923293699818,-128.3674114119193,-134.1883821545769,-121.0145672378699,-125.673609066678,0.901825965071018,-108.96239558959374,-118.27544644196614,-122.1761564805026,-127.75165294309204,-133.63648659849653,-120.92782172774724,-125.33805574884816,0.9049012347284184,-115.79220431749708,-118.10118338460052,-124.4778798020447,-128.46997282993476,-133.84202551904156,-121.98824714094812,-126.1333713232864,0.9114345562828696,-117.1420028245469,-120.71204138275858,-126.66408484608874,-130.02586989565884,-135.2008014722429,-124.19806482940218,-127.8816244233067,0.9186192942421308,-115.03852319572816,-121.23983402044648,-125.0532081975664,-127.97222902047794,-134.05103866697374,-123.95125819038616,-126.1600189338836,0.9246572008913806,-116.07643099223438,-119.54170843308265,-122.81375385203847,-127.37717026626802,-131.69340833053158,-121.70352015611694,-125.93999483632562,0.924142838270679,-115.8967174401914,-119.71182026035784,-124.99468403181936,-129.11870586882242,-132.1172655472988,-122.74353934873068,-126.12109901575464,0.929049953011537,-113.19589702826411,-124.22403134689102,-128.578769181928,-133.78325570305765,-137.64472706849443,-126.8973150648291,-131.38306870888238,0.9219191883876726,-116.1945767856966,-123.64357669420856,-128.14686548613977,-133.77597737525434,-137.97174899471435,-126.17291661835571,-129.0370685465579,0.914483707988578,-116.43061234863288,-119.81228642837137,-122.9038106671842,-132.28067441383877,-136.66210934567314,-121.98808104667224,-128.73364572222758,0.8926254806891323,-112.48242309664204,-119.4616500266188,-122.92946692156885,-129.38617871563088,-133.66379713023082,-121.60399123683572,-125.9705102356582,0.9097750763309154,-118.33130048665264,-123.07774942463855,-129.18233044283636,-134.59176459247578,-137.80932148468733,-126.69788629702003,-130.30609528176376,0.9193709462614114,-112.13856029477652,-122.97400854752584,-126.41701432955996,-134.1950210295084,-138.25655946974985,-125.15643616156454,-130.35171865690302,0.90524772670152,-115.54817392127389,-119.87185750233684,-122.12504278709048,-132.36687977135762,-135.74736712692973,-121.54844173349224,-128.94770719258443,0.8954018358222678,-104.94744554028844,-115.37971998490612,-121.99082605710711,-128.09635135899538,-132.09370713523865,-119.32468137148663,-127.1519684915041,0.9033335800722212,-113.6472728001326,-120.65958254164798,-124.12011887625124,-133.21073206448236,-136.8053849198533,-123.23553190424585,-131.75773235980654,0.9008090725116026,-0.0063995470038801,-0.00843439314617,-0.0148339401500502,-0.0079599070063242,0.0120963123233008,0.0041364053169765,1,1
8,-112.77071224770728,-119.60549556364371,-124.64111586411308,-131.66931685048698,-134.8935023020726,-122.73143714869585,-130.35073376450157,0.9098395034169864,-109.31948332319284,-118.44130003737064,-122.15807660448316,-129.47817254535084,-133.27919391294833,-120.60227141893496,-127.8984990564334,0.9048844600433784,-107.38769690379164,-117.2492220136043,-121.85210598386446,-129.01163853021376,-133.74643073082967,-120.35825964913109,-128.10398739515577,0.8998988533111373,-107.54330169689628,-117.51391509755624,-124.03313552083767,-129.8485926332402,-133.23827271757526,-121.43627760712346,-128.59310113471577,0.911421884495092,-114.9022431812114,-120.57021944025662,-126.03647749551214,-132.20717839123614,-134.05127284891176,-123.6826099930917,-130.52217097164058,0.9226515150847804,-114.98690387738095,-120.89559005032216,-124.02853014220774,-130.72453984881938,-134.99190055768028,-122.92207655761746,-128.9503452536581,0.9105885319771052,-115.2985321460399,-119.1179157971734,-122.065489537986,-128.99896068053528,-132.154131877711,-121.36094230268884,-128.94544708389526,0.9183287769994988,-109.72463869542514,-117.88779557936722,-125.12090593438148,-130.5252427944465,-132.21557878163506,-122.19562043506996,-129.90882243770466,0.9242149946405795,-112.47213073271357,-123.18112750705512,-128.21225722049957,-134.76474825335603,-137.4207013197986,-126.30130650828372,-132.95496486286396,0.9190850089926524,-115.55406023506342,-125.07283039192276,-128.7041355165969,-135.16941128620613,-137.93353332983168,-127.31274622239488,-133.21438046195078,0.9230006884399896,-114.88892190399326,-118.85307170120576,-122.2326445164796,-132.51329464998776,-135.6779668773539,-121.13360841475878,-130.5157836474221,0.8928023554794089,-112.33929572666922,-117.4270175657528,-123.8547374977758,-131.09796975595688,-133.65556841385347,-121.47495464082316,-131.59124067061356,0.9088656468444768,-117.96336305631436,-122.60322023220893,-128.80318536034727,-135.09022954570935,-136.85550307184954,-126.45019748961454,-134.1442504937014,0.92396867244153,-110.25943341824828,-121.10889364345498,-125.00086316952694,-132.35733626953146,-137.7511796663162,-123.35755571050284,-129.54439682968962,0.8955099768243002,-114.68250404759918,-118.08105907756504,-123.14322525018513,-131.78000118697418,-135.8235419889689,-121.13300702763227,-129.68402447535345,0.8918410258913013,-113.52650826215748,-117.90134945214594,-124.36945478566771,-130.70396583384647,-133.57117716785092,-121.91336318878956,-130.13998652615152,0.9127220840135916,-113.48237875661955,-117.7834014313376,-124.64262928945789,-132.43778740238173,-135.9300835700463,-122.0681972126762,-130.90033893107577,0.8980219389755109,-0.0080297014455273,-0.0116766523570707,-0.0197063538025981,-0.0056388729071595,0.0075580250515999,0.0019191521444403,1,1
9,-112.97924730713996,-119.48589144226032,-124.9465088412672,-130.77599105082334,-134.56755523079468,-123.02055618543162,-129.63929317463442,0.9141918048109072,-109.02240150581532,-116.8300358255183,-122.14860584161843,-129.61640274581706,-133.359233221954,-120.51850877063536,-130.54653282849148,0.9037132702319348,-106.45363975813044,-116.08288797897784,-123.14447244622872,-129.73866585825226,-133.54242331469902,-120.6219434266373,-129.64835862905528,0.9032481246980668,-113.43613513954432,-118.53495686896512,-123.37539477361108,-129.2021867016438,-133.7980406971535,-122.01993482114878,-129.25224235038417,0.9119710138157852,-113.45618653166036,-120.25557357111497,-125.53184547939242,-130.82122944896963,-134.0159855734585,-124.00783034616865,-132.25526757948296,0.9253211832568732,-111.41579190171444,-118.98257648415274,-125.87897678434028,-130.5538758546401,-133.9375590444283,-123.133272124746,-130.99491448214934,0.9193334043358335,-111.31813538085363,-118.09026545681566,-124.62632238524608,-130.5216782599945,-134.2308060221937,-121.97895510613549,-130.19524732306286,0.908725490972374,-114.00801432983329,-119.5927474979793,-123.90412326760658,-128.9454942845192,-132.153317916825,-122.64624442987994,-127.09800581105412,0.9280602739544638,-116.3274637661264,-123.64813359874522,-127.55670846451407,-133.59246580302965,-136.6895121483839,-126.35816923110012,-132.02893255070603,0.9244174424584344,-117.2993077972825,-123.69257072280315,-128.24033692907304,-134.10576412465232,-137.24358560606396,-126.82665706014654,-131.30601109160412,0.9240989770129034,-112.60498343237096,-117.8742546704073,-124.07360888720976,-131.3888567535014,-135.8985867197942,-121.824315304289,-129.91136779154218,0.8964354835821466,-109.74181815277092,-115.02225299832472,-121.70417800228708,-127.78259586600988,-132.90190470585011,-119.42255681679448,-123.75062335693882,0.8985767140140746,-117.30314652462276,-124.5974091577691,-127.61481794406416,-133.56864252403713,-137.01517116608838,-126.4256319022965,-130.5639459124379,0.9227126516453033,-111.4197948587751,-121.6147128683412,-126.99631069499604,-133.01229732311756,-137.0259150580008,-125.02363958143049,-131.3118620005106,0.9124087186610652,-115.42252583854528,-117.31958966165156,-123.51970710207974,-130.00888125714764,-133.56748965971423,-121.60269238220263,-128.69358359469354,0.9104213360002952,-113.95538686009128,-121.34258808739656,-124.6341843637424,-128.85065248082805,-133.23999770320202,-122.78568059461924,-126.48869801564116,0.921537696721744,-114.4832251361022,-118.29370762720266,-126.19454809426546,-130.70616752701312,-134.4613551349054,-123.1328670686755,-130.183097476396,0.9157491157599592,0.0013807333424322,0.0006834711251306,0.0020642044675629,-0.0010228732151785,0.0093854785557105,0.008362605340532,1,1
