mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-107.91443367330517,-112.21688871683783,-106.57763706770844,-105.12402204616714,-101.7526523644623,-109.00833940310201,-106.85717929106009,-98.79162355091627,-107.03382355252056,-104.03289712936427,-103.47468077578178,-100.42349784772945,-105.57778944626844,-105.00660404542302,-105.6792317004186,-109.9493754893392,-103.80821606577427,-103.40266201181852,-100.36476683882991,-106.55186278067534,-104.95158462162405,-104.25323764573216,-110.74780329336403,-104.29056563543567,-103.56121362372625,-100.48532141097813,-106.99582243576548,-104.92773204806605,-110.04378561573105,-112.3444094639704,-104.85990415320973,-104.15795554526571,-101.26975448161619,-108.02963826907194,-105.68186170880978,-109.7291631224993,-114.41524907051837,-107.60936688467292,-109.10929867388157,-104.99777956068024,-110.86739400062278,-111.452542886533,-105.51944190861792,-111.33259242804445,-104.08871343796,-103.98467036477412,-100.90326477341185,-107.24174712372404,-105.50756593362715,-104.32455709406494,-111.96632198938725,-105.19583698287875,-104.83330344405177,-101.4894709592959,-108.02575682407775,-106.30243002308346,-111.68371087154415,-113.6211933773972,-106.31562215475662,-103.5753402242567,-100.55905188862282,-109.30818331701045,-105.15396874215396,-108.8453613434869,-113.70319458560107,-107.59282202198834,-105.35869051977356,-101.8054021576978,-110.16131909132245,-107.44099572068475,-107.88333208296501,-110.98262025749723,-105.827599056087,-105.20555918413315,-101.51967005908628,-108.06706966789045,-107.41329471660913,-111.81046443724189,-113.51070087730925,-107.62901997725336,-105.09117829331448,-101.53094406753965,-109.88349299890295,-106.6852169057272,-108.28959393893797,-115.5509398234815,-109.24073755956078,-105.64148237859442,-102.11043833223731,-111.94799207526395,-107.30880366081877,-114.14655543314687,-115.08585312827523,-110.11229852158614,-106.03034538045218,-102.37639613962696,-112.18840820313693,-108.21755996017748,-111.01764498568099,-113.85104936429487,-108.46152002441985,-106.99645149232188,-103.39624153408681,-110.69029167054084,-108.8178132546351,-109.8845341197192,-113.56780235793998,-110.96364697965669,-109.42419988592903,-105.55310915190854,-112.06148905271093,-111.53107341387705,-104.7287009221792,-107.80729041046452,-105.21342649873075,-102.13732094059895,-99.25732862804905,-106.5351734926474,-103.3158210151112,0.0129405194362105,0.002993800523139973,0.015934319959350473,0.02321661216460359,0.0017723183958597234,0.02498893056046331,12,1
-107.82041681885079,-114.40724165388792,-106.81047471429525,-105.39214150706916,-102.15963616915563,-109.7938987499629,-107.70956167935267,-99.33303840972415,-109.94366858966022,-105.7104247044457,-103.97202073133582,-100.97942679071073,-107.60475497828793,-106.21574244370333,-108.64433268372824,-114.46871778282372,-105.87671935299673,-103.87385792846169,-100.92159705535352,-109.36719015691284,-105.96057047655323,-102.2766214709834,-114.37578125215275,-105.50254116369905,-103.97240553164114,-101.04914092978717,-109.02695969574384,-106.13527460649104,-108.98832736508257,-114.65075578428713,-106.24573441392525,-104.58888707852196,-101.6151245549025,-109.70598754074253,-106.63482093183863,-109.99921868283741,-119.33990193888678,-109.32965082076066,-109.67832764032607,-106.22961423689289,-113.41253678205962,-112.05204839388551,-103.7232336923712,-114.92690497449239,-106.14861496219304,-104.47387838358908,-101.48137112749815,-109.67413742065312,-106.63320010839442,-105.86278791339981,-114.2016641152721,-106.38384831024217,-105.36359698657424,-102.27110497749483,-109.610762193321,-107.68810512258952,-113.28710752974824,-114.70184004517064,-106.9230620589364,-104.15054597208717,-101.06082230758722,-110.08179523335966,-106.27530554194279,-109.8100477002555,-114.64029456222465,-107.87725669816696,-105.41218923641384,-101.99398856809742,-110.60642177625772,-107.60908757670188,-108.95586150035211,-114.36970414166298,-106.13160327050758,-105.11142792954267,-101.50880725511979,-109.45081507116099,-107.50974192729304,-108.60425079321942,-113.15696086485842,-106.13957521677872,-105.12089599649387,-101.6073770335705,-108.73171473892019,-107.69946095102009,-112.99146433155988,-115.99918867917307,-107.90806754664936,-105.7715523297264,-102.20100155212761,-110.90212463250339,-108.3509114189318,-112.37654959158272,-115.72951524651221,-108.16341291766115,-106.0072372189344,-102.35234572726479,-111.04000267653194,-108.36637330491322,-110.27744105710495,-115.18321514182833,-106.4101192653563,-106.94573574295852,-103.50217917267742,-109.83687612196073,-109.50058664877014,-108.81286078897654,-116.4236501147213,-108.15122607865231,-109.12800970941183,-105.36739349670083,-111.30787136214717,-112.03423244271971,-101.18352559068634,-108.40410322847991,-106.0657386477526,-102.70369569708802,-100.41288392070454,-106.34242961884374,-104.68752497389431,0.014305512679372514,-0.001186949174087435,0.01311856350528508,0.023752773229830094,-0.0011980949147390074,0.022554678315091087,12,1
-109.36768010540719,-113.75104891041691,-108.37843991954117,-105.07825968500116,-101.72196168666508,-110.35671672665237,-107.03193643771314,-99.71323256447664,-110.59155527277527,-106.43808199158781,-103.45000763401958,-100.31411971676602,-107.97377192550911,-105.03876265654,-105.82879185642715,-112.75446671603284,-105.97028626780411,-103.4092657915324,-100.2392101627274,-108.42608166050499,-105.09451376216347,-105.79183950373596,-112.70803468151934,-106.98223091779917,-103.48209077486467,-100.34584318408291,-109.01040292542652,-105.09014761733646,-110.84601189045243,-114.18395503201555,-107.2738445635226,-104.1188895573002,-100.8753957148688,-109.80683686493131,-105.81701334417647,-110.13746597893956,-116.08145049071379,-109.83194579868402,-109.31083142113685,-105.75629652937529,-112.32607258747528,-111.32272060903573,-103.08016395117866,-112.59542484823574,-106.31576480136741,-103.91619851823,-100.82634631293816,-108.5614860965749,-105.72031899954783,-108.75205710382497,-114.90004727255348,-109.03868497864097,-104.76103111687436,-101.57903840647174,-111.02630884585699,-106.43892977431969,-111.98430946835204,-113.93844455356107,-108.36351476611651,-103.574139563972,-100.33350513294252,-110.18661189604497,-105.49342760275779,-109.50940412278115,-114.21763846099138,-109.31778676010701,-105.40505938815349,-101.78123761160639,-110.98153228264817,-107.58218754752613,-108.7511461986475,-112.58683066119102,-108.80668391690656,-104.99039929889747,-101.25650622163633,-110.18360899281502,-107.4898413200339,-113.93419965152407,-114.69174351696377,-108.65683958383883,-104.96251723407232,-101.39565256876378,-111.06594111032626,-107.07812041940683,-111.4516162695488,-115.2716833222958,-109.92880864015457,-105.47832819437052,-101.95112228626978,-112.04124250173125,-107.53047097921471,-119.18491409719059,-116.18544269876874,-111.40314399092291,-105.86673314250599,-102.0898648995732,-112.82522838121281,-108.11811531266625,-111.83887734342255,-115.15678984903023,-111.11761435533813,-106.8797348847873,-103.2575892695852,-112.45861144223694,-109.13029356063026,-113.73144169232745,-116.71633980005966,-109.39813982437039,-108.98394238059919,-105.1236264889553,-112.91361562820023,-110.83517501356575,-105.34740999368557,-107.4369353899629,-105.21166755549746,-102.662986058702,-100.42603248007835,-105.92011448494313,-104.73094448448879,0.011782740713150164,-0.0010649804625667667,0.010717760250583398,0.024326236477445456,0.0010935238037159136,0.025419760281161368,12,1
-107.70705471742048,-113.283568223808,-107.22791853370077,-104.91311156858916,-101.15130720336697,-109.44168964845721,-107.17722666086654,-100.10988202865786,-109.54430727355799,-106.02271146794288,-103.91509146627827,-99.95317160992688,-107.36290996441504,-105.70056201252314,-105.26046302277564,-113.39228739573218,-106.156003628689,-103.89321766486843,-99.88915522042136,-108.68472734956735,-105.65305811487805,-103.07348815798542,-112.7716959411362,-106.43508480941892,-103.98557868737633,-100.01926306781485,-108.7027346765457,-105.61808548938996,-109.9860031960352,-114.88110258286174,-107.09075667823834,-104.50989811109011,-100.54877419290018,-109.93408116823441,-106.3107143053561,-109.22347290154276,-116.2192244955459,-108.48082731583104,-110.1125435481374,-105.39571460316277,-111.62228792369645,-112.13417678168639,-103.74323603640948,-112.78675912912928,-105.8819648709933,-104.46787997307257,-100.46508763691493,-108.32341165504133,-106.18395551321532,-108.58974621560589,-112.88726044520212,-107.68533244376292,-105.29659942780465,-101.25908792674873,-109.56273584125407,-106.95630756051793,-113.21450644603723,-114.92179299247623,-108.62091465478925,-103.97246084502186,-100.00321998409383,-110.74715606078361,-105.70889525962698,-109.57323349888833,-114.52367413218991,-106.61331046035482,-104.48812876751576,-101.05755324301228,-109.65691141267659,-107.21400547671536,-107.34194204627141,-112.50384254041774,-105.51505534966543,-104.22461804706512,-100.40979681709874,-108.26398376321839,-107.23851298864828,-110.62966582172155,-112.11253374089176,-106.71945463119872,-104.05752479798866,-100.5885269853874,-108.61346434047564,-106.75393985497398,-110.3409295288345,-113.18268928054533,-108.6562844621229,-104.60966112437384,-101.1576712534348,-110.1916291737005,-107.46976610027548,-112.76687506759943,-115.36330305935729,-108.30261236285395,-104.90600260814648,-101.30700055752536,-110.94890148359632,-107.78484279507549,-108.88425448526381,-114.1496491025389,-107.1918478341538,-106.0791602750241,-102.41541455214858,-109.86344390739447,-108.96129875585002,-111.21445220459171,-114.54913383398518,-110.67112941658709,-108.09526785342794,-104.29512690186328,-111.94980386480077,-111.04718302801584,-99.36072482050734,-108.74783563536026,-105.60340615261025,-101.99615190023498,-99.65635070141745,-106.63885178991482,-104.10032253711601,0.006448301820851038,-0.01017951757292433,-0.003731215752073292,0.026104657992583255,-0.005116338066659547,0.020988319925923708,12,1
-106.57741486285033,-112.27806961318129,-107.79461286683738,-104.48136106818247,-101.34569707324728,-109.767386825041,-105.76689251386065,-98.7179119448661,-106.85847697256698,-106.03793961819235,-103.87768881063698,-100.9015279725654,-106.96077674108385,-104.81545203073617,-105.3519518302205,-111.46660529781623,-105.90788383449717,-103.81518336339155,-100.86563241082612,-108.62456437262128,-104.76472858826565,-101.89593834918145,-111.20348037935821,-105.90978582849968,-104.04020080296571,-100.93730347124804,-108.42562562077481,-105.03808663452696,-107.11265708224117,-112.99694499052215,-106.4305258185658,-104.48118621783765,-101.54482582104926,-109.43545624648999,-105.4423762647349,-107.16244036400761,-115.10390309797792,-109.6822046178741,-110.04808544603343,-106.09539692257982,-113.1439328185416,-111.73265267240836,-106.157456693921,-111.14300366288961,-106.54322791140942,-104.30774074141745,-101.46052784379955,-108.89625248662651,-105.07095075669281,-102.29822474354421,-113.32268200709454,-107.60793474011912,-105.53044097323183,-102.1346404862041,-110.20205617465291,-106.64356389051409,-110.74074761007765,-113.93305802750307,-107.54480955784646,-103.95019915995587,-100.93821122575825,-110.19803711965304,-104.82755675691172,-109.15205788840393,-114.40868416400791,-108.50249116097987,-103.58121087219175,-100.47583370705385,-110.66174669661066,-105.09375023419415,-104.72205445313651,-112.47098542555624,-107.34124291715156,-103.30667371949508,-99.91679729673446,-109.45185589176342,-104.99330093765138,-110.2601314856339,-111.89029328206772,-107.88956861660884,-103.3553953064974,-100.06986875994866,-109.33713939109356,-105.0524771649411,-110.67106969693978,-114.54866514554153,-109.46693957737136,-103.82494425076158,-100.6126385970768,-111.14434232256373,-105.35385747991877,-111.42303202016745,-115.76072908895894,-110.25930859727742,-104.1164538597883,-100.78177526830508,-111.9779557757583,-105.763278065112,-110.62949055281933,-115.12877524973756,-109.39371725378757,-105.1980867529938,-101.90612148998181,-111.52736155006426,-106.8325819682191,-105.89823907762033,-112.10448331922764,-111.41441589482264,-107.36865817362873,-103.9541886619131,-111.82682964052684,-109.35989861053454,-103.0452340128243,-104.10834370007426,-104.78180992439476,-100.89962864009209,-98.93586323691191,-104.46425635183098,-101.4857681664088,0.015046215892703496,-0.0012407203687598656,0.01380549552394363,0.02594936898363275,-0.010648333544584254,0.015301035439048495,12,1
-108.17818394360162,-111.32338645113315,-106.91304827714052,-103.4238189428145,-100.55857910391117,-108.75856459469429,-105.03241739276758,-99.08996440119748,-106.59770112428761,-105.18288962126013,-102.38515863880565,-99.8210208198418,-106.17043588469748,-103.62482600876237,-106.1613579019847,-110.62422540044425,-105.29813385157561,-102.41483134661887,-99.7582144410694,-107.69823687329412,-103.777604033158,-106.12691363239826,-110.07584208896374,-104.940259064683,-102.45755032881819,-99.89542434554406,-107.33985947211282,-103.69179990820118,-108.51424055448032,-109.91835615778564,-106.06166321688522,-102.9839355420057,-100.44622345936816,-107.87885788922982,-104.28091297033421,-109.4508307499976,-115.9018009197611,-108.89225296002877,-108.41728411752969,-104.99119410250135,-112.40638404403778,-110.25422080248092,-106.9879291532321,-111.13374939942298,-105.53686049538636,-102.95634900512579,-100.31367034225565,-108.12110304378164,-104.35302215655932,-107.42627998674953,-110.56816171458478,-105.87676821667517,-103.81066404777165,-101.07498071845114,-108.123345743464,-105.06097650747607,-112.71788829260808,-110.98834499603497,-106.87453614807696,-102.45086565663595,-99.85360760850239,-108.54109071837726,-103.73119750621788,-111.54495953861743,-112.63498125110544,-107.72659491907552,-103.06933446825161,-100.00001548061397,-109.53486436285516,-105.04519768390412,-106.39578327747346,-111.38032513847656,-105.86533240566563,-102.73164245701675,-99.43745211115241,-108.19439745922452,-104.79194069614788,-106.89825707318994,-111.11260272699383,-106.48796811759975,-102.6577544424426,-99.58756711477875,-108.22532502203498,-104.3372685439502,-111.07675697894959,-112.68171910294363,-109.09113297171302,-103.21126051682748,-100.13686450352603,-110.07795006181956,-105.12923379216329,-114.12936293025606,-113.4104150884989,-109.00391913498521,-103.51471700808713,-100.28068626623642,-110.39991263067971,-105.58305543175626,-110.03025608925734,-112.65236642631002,-107.42597760492178,-104.58888028358118,-101.42560729854037,-109.49500972273681,-106.49773346287162,-109.4004234468793,-113.59230884789459,-110.54110090072811,-106.8960831651646,-103.43747412357781,-111.6632731160332,-108.74968284568203,-104.89973909035491,-107.90128283462218,-105.80338280498802,-100.2347920603492,-98.477262926619,-106.26698747072997,-101.61000593461593,0.013168356238803679,-5.4008206095701034e-05,0.013114348032707978,0.025701595214419656,-0.005224215847177488,0.020477379367242168,12,1
-108.26794649519277,-109.73599230244177,-107.05161529802142,-104.169500911034,-101.39323193245569,-107.71417051628403,-106.18414713711654,-100.00706720565638,-105.77731276795227,-105.23235123066527,-102.725650829059,-100.0011013499312,-105.11869949647831,-104.60618684479742,-105.47700571720358,-106.42121276836542,-105.27837395571903,-102.59596313380224,-99.93042513169033,-105.39048125027898,-104.47837091750915,-103.98093304597799,-107.33045493576996,-105.34984413518933,-102.87600597965785,-100.08070206564057,-105.75642579436116,-105.02326309160698,-110.11973798694527,-108.39750993350596,-106.34257647172643,-103.47024112691754,-100.78219651743578,-106.70010549001475,-105.17239936827285,-109.15290206181604,-109.18946031941208,-108.21365393210013,-107.72991055242953,-104.69450287669464,-108.46333442577102,-108.79171530950993,-103.57299426903589,-106.47160141997695,-105.50387350776785,-103.22990498484327,-100.49467202944615,-105.64455548288919,-105.26753162976635,-107.45922710465683,-108.48033419894944,-106.23100950344406,-104.20347514703546,-101.14418142452725,-106.67598427963969,-106.65377371486892,-113.64108333374912,-111.47848115615368,-107.3281973900047,-102.90692836410773,-100.05248680220794,-108.36152273542682,-105.07314222908069,-113.40657629618775,-113.32849678667493,-108.3523027052668,-104.28902367069905,-101.52792211312375,-109.80676241509921,-106.26488403466618,-106.38903221305634,-108.57708154175081,-106.13455636139278,-104.06252947945677,-101.17254667271223,-106.85931837111369,-106.11238130940329,-109.26737927671726,-109.11132507819296,-107.01166978874798,-103.93793808740412,-101.17508280062499,-107.31807868181325,-106.10971938702244,-113.6692089025212,-112.36437960257274,-109.20098091235711,-104.50286570233547,-101.75280507312858,-110.01935824994,-106.75864644136357,-113.96667230106253,-115.2825431577317,-109.48510244742343,-104.93957589203103,-102.00635246726424,-111.31471400195298,-107.09513210718683,-110.35671243528458,-112.03984394160261,-107.6838385247826,-105.91648071421685,-103.06102727612937,-109.0212667235108,-108.0467865319553,-108.82620690766504,-110.86504302651137,-110.5869258861488,-108.42585070691622,-105.32994656368436,-110.29685531275122,-110.90493787305182,-102.99440486554849,-110.66079620394545,-104.89058801560644,-100.89967020563186,-99.08575975504974,-106.6792655495034,-102.58748340380279,0.008720685746818228,-0.0004541844703423492,0.008266501276475878,0.020168874840483998,-0.0006767579175077836,0.019492116922976213,12,1
-108.43056561835245,-114.90327215512632,-111.17434498461063,-107.20298725567788,-104.51950144922438,-112.59142125788263,-109.41286540080486,-100.06126083216343,-113.04321943788887,-110.09305067044163,-105.68979501549263,-102.87997434687597,-111.25416526422525,-108.13768217432467,-106.9989337021957,-115.03920780461738,-110.52632953078293,-105.6484361844093,-102.78804608536963,-112.23139503339607,-107.87393826144516,-105.34630439092336,-115.30716898674255,-109.79857371990506,-105.82387070450643,-102.91270188860224,-111.91511083274769,-108.33517444567852,-108.07290557234677,-116.27168413913951,-111.35494070706093,-106.38620828663971,-103.51031114121331,-113.1194753258485,-108.61725195625809,-110.9925647610356,-116.59346009548898,-114.56255328862076,-110.92052292539954,-108.00531335987664,-115.1652369007348,-112.20587684178636,-102.83637398026646,-114.15213595869234,-110.99378517619839,-106.1029736970371,-103.35909391920043,-112.16725699268466,-108.08984353680447,-107.96690166664848,-116.01320670917265,-110.9590191570876,-107.17871177781548,-104.0343699382081,-113.03672910808383,-109.82483588891543,-112.80733971755775,-117.32253900228973,-111.23521936850267,-106.01578771211119,-102.86781097492779,-113.69736931989817,-108.70507680276224,-115.07472252660406,-116.6903984533929,-111.7571394701673,-107.26254249581768,-104.93639356948907,-113.591210433673,-109.10101578045075,-108.97443074629112,-114.31205364960822,-110.96308365168709,-106.91716786988079,-104.49531873672143,-112.14343794082893,-109.31432936980956,-109.75299021993783,-114.06192265961796,-110.95650040408121,-107.17699634892605,-104.51695108278042,-112.01610648652641,-109.50990283637475,-110.27009481127185,-115.76996732585718,-111.71435801505146,-107.67282512691465,-105.02487089992158,-113.30445360376147,-109.94062978034128,-112.13496382829217,-116.44876482490453,-111.81132420048044,-107.9114263190955,-105.2771964375819,-113.60615991096206,-110.25706479678294,-111.34644882497074,-114.51702420853884,-111.8852753052411,-108.74608082972428,-106.4108146437935,-112.9019341184631,-110.98514127931105,-109.29460161927267,-112.95951392658942,-112.43540181729375,-111.38103795649259,-108.59401050324006,-112.63649558299288,-113.63914184130456,-102.95821269386093,-109.95008729947978,-107.74296527116758,-104.41341284058346,-102.6988456597881,-108.67620327129515,-106.06894082052793,0.014198159358217478,1.8314960736435344e-05,0.014216474318953913,0.020865964958698954,-0.0012216204644623502,0.019644344494236604,12,1
-105.48755323063536,-107.57178580939022,-110.24162749189176,-106.31657976648793,-102.24795873357776,-109.20504221839121,-107.51691745773418,-101.81176367662374,-105.23838807005448,-108.35855049236721,-104.17749638418687,-99.7497334587609,-107.10215010973764,-105.29778955185157,-103.87197034962465,-105.33001049144009,-108.253040483771,-104.18402152075856,-99.66817435790338,-107.10820994663621,-105.5003326383722,-104.03304640001309,-105.763793667641,-108.50400209413645,-104.1842925168003,-99.8093686147775,-107.45028280806231,-105.08546617695974,-107.62958687193264,-107.68226544415806,-108.64922727316977,-104.75460720501746,-100.40935002240242,-108.36727680647033,-105.72010859338674,-106.30780085183004,-107.42459865661154,-114.37960544877076,-109.73764094297339,-104.70651178746883,-111.60484075358167,-111.48463820581995,-105.29293964261646,-105.51507655314414,-108.65246495577298,-104.7693823874962,-100.26371254755941,-107.45816477263375,-106.06793167111887,-104.8035727230999,-106.23109686844106,-110.1122215983329,-105.33604788191434,-100.90519291578092,-108.61188030803221,-106.1992753139873,-110.71611522916753,-111.07803675533978,-108.6654534816405,-104.10082478556726,-99.76491960541522,-109.64283177419092,-105.13293121963258,-110.10537942314778,-111.90327485473101,-110.76042104625084,-107.14468051205094,-103.56041196653193,-111.51856831433965,-108.2349358884044,-103.46918858605491,-106.71950311878261,-110.01274122817428,-106.98803422479209,-103.16013270862474,-108.97489625569183,-108.30273998095717,-105.37174092735891,-107.0922055084978,-111.25078585647452,-106.92451587411895,-103.2101819532363,-109.5668588936507,-108.40648280758654,-107.37385512142203,-111.47788319991867,-111.60174913170509,-107.4372411235843,-103.70102335462063,-111.54702182844682,-108.9566675269503,-108.71762425659892,-110.94829037365214,-112.05616269335326,-107.81293940569606,-103.9247550508578,-111.60797661627677,-109.22061559446695,-105.47948095617184,-107.15558818316505,-112.63953002179426,-108.89328268822085,-105.0838766187861,-110.48533464523861,-110.19101265179721,-103.76813479373328,-106.72579026091285,-114.77489885389778,-111.21561380421535,-107.31072788440032,-111.18517950212843,-112.42685186332082,-99.04865188076988,-104.86277094375303,-105.19518521065667,-103.40465500641388,-100.73926689011826,-105.04920215914143,-104.0428996391345,0.025693441093086355,-0.00045192680049205736,0.0252415142925943,0.023231766094026076,0.007780494452096675,0.03101226054612275,12,1
-106.89293088692955,-113.33649817960838,-109.4061157283196,-105.0442096105865,-102.73675637120851,-110.64240922853338,-106.93074723946037,-99.08691421612701,-109.04656684169152,-108.26200785254488,-103.92414803185105,-102.19018656112038,-108.33812165802549,-105.86065468807314,-107.44246763146995,-113.15513844907902,-108.60023187029175,-103.87574522410067,-102.09987858041985,-109.88725210789745,-105.72552668724273,-102.43279215953598,-113.33948018924264,-108.61251848573048,-103.97143479391974,-102.23505415221449,-109.99219992270712,-106.08673539298911,-108.05038437528759,-113.81828073597,-109.12137298635284,-104.4860616883279,-102.82897528746246,-110.51351878786119,-106.57508059044292,-108.89250055472027,-117.12475777273472,-111.75800622492179,-109.4275447993803,-107.26371067143668,-113.37421323760219,-111.51667207054332,-101.47990886919035,-111.1527630786165,-108.99412916605996,-104.43400208592405,-102.62586333737492,-109.43339590574008,-106.36197201644376,-104.70412419964407,-112.6414917691276,-109.9889486024511,-105.29691066349426,-103.36624695276964,-110.712931980694,-107.78468076195134,-110.78982254514355,-113.58436455351347,-109.98794193784298,-104.08486649409008,-102.21729878146117,-111.037488113358,-106.4350483505959,-114.79343700339273,-114.63295766716867,-110.22648788405428,-104.90622925882654,-102.02637291889553,-111.4816753597053,-106.5198640942576,-105.42040226801363,-113.2625844751823,-109.65975729300956,-104.50560277106688,-101.46696572310465,-110.71135978103688,-106.24784951647331,-108.16386407360383,-113.08784705390461,-108.96434758705986,-104.44523232330467,-101.61944928557283,-110.40567616442193,-106.18793147150183,-110.71544316212373,-114.24951657869542,-109.79734347116361,-104.93886307051423,-102.11910996843004,-111.38958153267941,-106.6589058664131,-113.4548697848326,-115.50307349429598,-110.74886057111078,-105.37049041423019,-102.3205081432734,-112.1717790146047,-107.1992538050609,-108.86380829398448,-114.88154992760094,-110.06378367659488,-106.37080712902468,-103.43435105069081,-111.62307874512035,-108.02054449019127,-106.45744578142089,-114.34464622033688,-110.34986588156265,-108.75154701733305,-105.63735605936289,-112.31023301259474,-110.29024795864332,-99.53870927238233,-109.55895206657375,-105.36224816236248,-101.91786800399552,-100.33677446574666,-106.89604233248527,-103.42098807054244,0.011936982293159046,-0.0014987172726536142,0.010438265020505433,0.023100368378560113,-0.0037716797548004483,0.019328688623759666,12,1
