mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-106.58896940657245,-114.61750800470566,-115.79071079235604,-120.400377671165,-124.83146543647338,-115.08588109448448,-118.1477661803806,0.9219300654052772,-107.16817937529328,-115.24366881060412,-116.01079788316105,-120.97406739376444,-125.37952204076964,-115.5113762842504,-118.18911471531584,0.9212937998494648,-106.4001448333255,-115.41909422210853,-116.76220385478884,-120.87976579599524,-125.15738482660409,-115.88777332429824,-118.44251994685943,0.9259363599267582,-102.16085605452987,-109.7476389162152,-113.7549832151744,-116.29342675558505,-120.8287986982635,-111.91811592615488,-113.51953533004864,0.9262536508836724,-101.63006267612876,-109.34405320791367,-114.03530312739376,-116.10571267802266,-120.06280301254569,-111.82598457836596,-113.46937692319996,0.9313957509944272,-106.6704544865793,-115.32709485662652,-115.73859040887923,-120.51616162390476,-125.25663477449896,-115.3023967558074,-117.49972739553756,0.9205292555032132,-106.268494308105,-115.0818186056044,-117.95242894639716,-121.4544564890472,-124.66279925600064,-116.35825069928708,-119.10964754943568,0.9333839075788776,-107.65707197042596,-116.6585251363441,-118.17148763189184,-122.6188825905903,-127.69832670641432,-117.51049286190576,-119.87355246668912,0.9202195196501598,-107.02133969493606,-116.0104675283784,-119.5664137372343,-122.97979842572656,-127.02356546611932,-117.72549671326806,-120.39158917738187,0.9268004427467332,-107.0916736729282,-114.82814181379598,-115.45579511119976,-119.88174739926076,-123.62307365817011,-115.09320969227448,-117.2476341389832,0.9310010363479432,-107.81618392375528,-115.01197702134272,-117.58324205983718,-119.70414976018648,-122.2980984863576,-116.04349120537894,-118.81701101721494,0.9488576898709806,-107.6095606966515,-115.11055601905636,-113.56402635710448,-120.39340017807656,-125.7639077463597,-114.11693030287476,-118.15594618110156,0.9073901435459962,-107.30710183558124,-115.29730288436345,-112.90926830036112,-120.3483275935897,-125.39777698217748,-113.71788593213722,-118.98454725594812,0.9068572718661488,-108.09170676775904,-115.61325670996396,-117.0509984284946,-121.89639628391238,-126.87747985140064,-116.53048594290436,-120.1566110634734,0.9184489326189744,-107.8835141366372,-115.6025070493502,-115.43775144548896,-121.8578512079284,-126.2502929093543,-115.32068968766912,-120.12481994072128,0.913429086223725,-107.1986525495069,-114.90386532077964,-113.9453898652856,-120.00838638405908,-125.5648093263521,-114.09810642563544,-117.64112611424358,0.9086790083763528,-107.44851352301578,-114.6801599728434,-114.7126923050042,-120.4935121789905,-125.45817324218606,-114.41341117953964,-118.7414996699352,0.9119645872626768,0.001230605205868,0.0091291440887476,0.0103597492946156,-0.0008077227739305,-0.0007412691697628,-0.0015489919436934,1,0
-101.92696545886513,-109.41945296652788,-109.97850443707736,-118.72439721978736,-122.43519233048174,-109.94430276766715,-114.97667247985504,0.8979795814825962,-102.36862787308418,-110.6198248685193,-110.93693384308162,-119.5023180335538,-123.23598997128934,-111.14478045511008,-116.07714328308346,0.9018857273837276,-102.31609670974994,-110.641750743603,-110.85395873018332,-119.66246844179555,-123.64458408490184,-111.0395213504392,-115.82232469469768,0.8980540649818739,-96.89429390727682,-103.83620620648708,-105.64300552160086,-113.84531306370594,-117.23574517538296,-105.14278712472247,-109.55833032738964,0.8968492243336743,-96.4569979560572,-103.61413090830358,-104.83239142679952,-113.40526650416736,-117.2073651207062,-104.49909274258886,-109.1260429248616,0.8915744555384406,-102.5588662305164,-110.74237632930688,-111.24442233256816,-119.2926074587228,-123.33741857197636,-111.32143722079192,-115.72721808305931,0.9025763511973276,-102.92189595222894,-110.88888419892498,-111.1152471807168,-119.816924263553,-123.53104316147954,-111.26362757971016,-116.12547154106834,0.9006936615460016,-103.13869965199903,-110.73288850146344,-112.13133722904044,-120.37435483801978,-123.8552548778917,-111.82387878838892,-116.22532371220846,0.9028593812885496,-103.1667941799291,-110.80856773793904,-112.03314267070452,-120.45956349254332,-124.10893154769347,-111.62082589596008,-116.06490555684786,0.8993778651060711,-102.05759029122846,-109.8041204802201,-111.03528174598488,-118.72356784261922,-122.22112327074936,-110.74213574429854,-115.3006972706402,0.9060801666744456,-102.36106079877688,-110.09675940266636,-110.71945074062704,-119.16649951424009,-121.73636389160951,-110.58016695903932,-115.99189616610788,0.9083577283242716,-102.55205570093166,-109.89268626347832,-110.10830682480878,-118.98787852255678,-122.77146637303682,-110.19589531996267,-115.2313439435686,0.8975692689467135,-103.04213582455124,-109.96535229213843,-108.29677669734858,-119.24814103707256,-123.22053606791178,-109.2290185562656,-116.05367841566564,0.8864514150146621,-102.50812339795549,-110.092481293484,-111.91235778293898,-119.65976560168876,-123.21799838219984,-111.17882427331536,-115.37444638624412,0.9022937049217344,-102.9665254771771,-109.87664785174124,-110.25618614026806,-119.56824041074164,-123.3800182925434,-110.22076957204187,-115.68434647509474,0.8933437609864837,-102.4019472558567,-109.65363359666712,-109.56733232610732,-118.7447033903892,-123.05699400340336,-109.73292898504424,-115.58593167868172,0.8917244393440115,-103.11973613452302,-109.44493678950312,-108.96993980045886,-119.1327431012275,-123.20224449493222,-109.37315371499506,-115.67765921846136,0.8877529314775917,-0.0038513484547558,-0.0014242356941667,-0.0052755841489225,-0.0019363935633315,0.0018619174669298,-7.447609640166808e-05,1,0
-107.9967567244797,-115.46810917088128,-115.47298003001238,-121.78811362811476,-127.75732864857822,-115.73995290892368,-118.23665530160788,0.9059359187705724,-108.87127861842109,-115.35209031022627,-115.421659504331,-122.416205119731,-127.81540797001875,-115.54223842282416,-119.04515123923576,0.9039773862782374,-108.08581414479836,-115.67470038988638,-116.0833700238393,-122.20894935197724,-127.94705339473164,-115.99467052099408,-119.09465885342388,0.9065833674429136,-103.32509527953331,-110.12074276481162,-110.60737451839886,-117.0569392468696,-123.14337802502077,-110.7952628014548,-113.3314192753756,0.8997257065576274,-102.64876263878052,-110.16686492904996,-110.60004429443086,-116.44070920411404,-122.89598724385142,-110.87039096586368,-113.17339841856555,0.902148177921168,-108.95260409607694,-114.61847182938824,-115.38098093466652,-122.72653449097612,-127.96608551007544,-115.22100569798836,-119.65132289381228,0.9004026749643474,-107.80630701106608,-117.2558883215928,-116.93605304761286,-122.2181928855156,-129.0045355356505,-117.16495922895632,-119.22087719232589,0.9082235654929954,-110.17527380847014,-116.45094307739008,-117.51880975223312,-123.94489894126563,-129.99038506712589,-117.40353917561058,-120.08444750029793,0.903170946951072,-109.35634031244687,-116.70507699553634,-117.247127802771,-123.34818679513774,-129.8335046842231,-117.19229866572586,-119.55219238616203,0.902635255443171,-109.22736552665674,-115.67875085637938,-115.41437076274704,-122.69855101072127,-126.95049713952214,-115.79891373397504,-118.72040399415307,0.9121580170474544,-107.4446024877158,-116.70013477102287,-115.89308076207276,-121.8362626159062,-126.5865736312446,-116.46452473376009,-118.01176882781768,0.9200385269375349,-109.6304205221648,-116.2615171913689,-116.28436881503649,-122.37958356569196,-128.7148245585099,-116.53356753102668,-119.30737699122122,0.9053624392585332,-107.78182399511412,-116.3575420865178,-115.1138884165491,-121.96118556583036,-128.4886298964979,-116.02264623503874,-118.40953726736228,0.9029798693355128,-109.31579460920604,-116.8316868172568,-117.50391580736056,-123.07928002604628,-129.31977174282554,-117.60126139494344,-119.10873584206972,0.90938345938944,-108.5811098323046,-116.50617387394114,-115.90646625321982,-122.81528072233364,-128.82373679538563,-116.53024149969347,-118.76199122441396,0.904571194707554,-108.52374271621976,-116.31664967480208,-115.88197650929784,-121.7269752837722,-128.16126239116844,-116.27193893183912,-118.29078517768085,0.9072315359765948,-108.2217719927002,-116.49251284492964,-115.77419327563074,-121.75208322394728,-128.47562479139975,-116.43178700308414,-118.02241774180844,0.906255853529643,-3.313733331068731e-05,0.0020695831291641,0.0020364457958534,-0.0026391274038244,-0.0035262398103024,-0.0061653672141268,1,0
-102.88916327573976,-114.05274839766894,-115.7031828527958,-121.3414090358423,-126.21016647621936,-114.63215660479442,-118.04055711985792,0.9082640472262868,-103.9334100556991,-115.16154538346194,-116.44207475171832,-121.44796855795876,-126.91583780071603,-115.25586788627272,-117.93826085966916,0.9081283304235688,-103.8205905451889,-115.58735532674926,-116.40489146975932,-121.80421372345154,-126.76398351935062,-115.41009561883382,-118.25124846921902,0.9104328565157184,-97.88875192324316,-109.20851485815524,-112.27867413250424,-116.73686534032956,-121.38458277405424,-110.54495504274016,-113.35577731173775,0.9107001277790688,-97.37561169031736,-108.34570741124872,-111.36764701810765,-116.37282293155285,-121.03239643612817,-109.72889362487696,-112.790709005813,0.90660762618861,-103.78042274640754,-114.76945286525375,-116.43050239667193,-121.18518888309964,-127.78777977426886,-115.080018156555,-117.68252874296196,0.9005557367053287,-103.37522319239156,-115.51229690104635,-116.374108463868,-122.49077543641904,-127.41836265487584,-115.35165943789865,-118.7834716589814,0.9052985537911756,-104.59611029430064,-114.70611969300477,-117.6605226407776,-123.26954112835216,-128.25801444400994,-116.04619155330984,-119.66008958372836,0.9047870579968236,-104.11491222499836,-115.28178964886126,-117.6725638416895,-123.05424623085082,-127.81114470304024,-116.3308840635742,-119.75403453924766,0.910177937408044,-103.34458526277702,-113.71382283345196,-116.55402424368684,-121.25519669532036,-126.3341982302048,-114.8459957303978,-117.98680953145748,0.9090649827145508,-103.10120437089198,-114.8984208344218,-115.84251475471228,-122.35020670752591,-126.3775677130878,-114.984078851373,-119.06418822065592,0.9098456390015264,-103.4720380269847,-114.55845196624053,-115.40903675304692,-121.4537906351244,-126.49687761346148,-114.70588449410592,-118.41198758457494,0.9067882674907954,-103.93520951475432,-114.85518460500056,-114.92151211927995,-122.11915309024307,-126.36074593151274,-114.81233402319184,-119.06123651939195,0.9086075994313922,-103.69701730837464,-114.36798179933926,-116.47623017122766,-122.6496385590183,-127.08389440014396,-115.52483029067548,-119.50087895111696,0.9090438315253944,-103.55108287958733,-114.40988421847564,-116.596253992387,-122.2589582283101,-126.95811787766893,-115.7380101076974,-119.27543457714592,0.9116235498955434,-102.83956963441808,-114.94405676590786,-115.40132974824743,-121.31072406096835,-126.03969567460572,-114.82454165951336,-118.36605431876556,0.9110188742120872,-103.40087274150122,-114.5233892520843,-115.41903914704793,-121.703254364952,-126.33946407238048,-114.93026513569458,-118.76620404325934,0.9096941005690076,-0.0040735171037447,-0.0030616182669547,-0.0071351353706995,-0.0015616785877733,0.0044950152866468,0.0029333366988735,1,0
-109.02491218473094,-117.7374395357063,-117.42949177467878,-124.69905085319066,-130.8277697455064,-117.59656266614606,-122.4569283178652,0.8988654541379216,-107.7205672924794,-117.25795286346684,-117.42301085768344,-124.23505814130434,-131.3641518285769,-117.38291073535775,-122.6977562764778,0.8935688245339268,-108.74644221250674,-117.26719120804408,-117.65638354014229,-124.21250689290616,-131.00380802274833,-117.62392557091714,-121.9572516646744,0.897866461641269,-104.61357730852964,-114.1266168431278,-114.89286495462952,-121.20934951132152,-126.60624560098836,-114.50401494068802,-119.3913833730858,0.9044104767276516,-104.15656220229307,-113.61911410639154,-114.42746935563346,-120.81287730760155,-125.76393317933191,-113.95957569508386,-118.70093638588033,0.9061387697900976,-107.59319235790898,-117.45687910628516,-117.34714467892697,-123.92852090183864,-131.406109944458,-117.226172064654,-122.33582709107311,0.8920907263307811,-109.1128940013341,-117.9348022602807,-117.5683909853723,-124.28779697429954,-131.37108653470116,-117.697151293539,-121.7572685068826,0.8959136625733073,-110.7842118894206,-120.64617920714632,-119.7871010660862,-127.31409751746465,-133.30435738873257,-119.83019308280554,-124.86774440463036,0.8989218014334321,-111.0344898788027,-119.8032110148247,-118.2394940474601,-126.73713141456336,-132.2053184301659,-118.9016444651307,-123.89933231329812,0.8993711136359274,-108.95000689949109,-118.05321178948203,-117.7910818768578,-124.46274964471436,-130.64772265113325,-117.81252775880884,-122.66673121720844,0.9017572244516036,-109.09899719070158,-118.8208160230577,-116.82658933888766,-124.90837153286007,-130.18391330582887,-117.61034780011244,-122.49410272599356,0.9034169031608495,-110.41192546166904,-118.76200882961272,-117.99259171906186,-125.2214381437252,-131.47404014508186,-118.46956923337372,-123.16432683212324,0.9010871583670992,-109.95036248537482,-117.58259752993536,-115.29461195485568,-124.69121028570407,-130.97723933798014,-116.35144617963572,-122.39058710871647,0.8883333223980748,-111.22526859921106,-119.04419270259196,-120.51036788889016,-126.83210214817224,-132.59979031134793,-119.95732304265906,-123.66327406673716,0.9046569588156662,-111.22566182532644,-118.39970511753924,-116.72397961084944,-126.548672097034,-131.6834523112255,-117.8233122109352,-124.03067817658368,0.894746531496359,-110.339612339591,-117.51576992789916,-118.356600865072,-125.03494830346848,-131.4033244070027,-118.4090117987814,-122.76314975266904,0.9011112339291104,-109.43482301105468,-117.50878404161568,-118.03418565445172,-124.7479828340721,-131.24982252879926,-117.9858767858546,-122.53050318980895,0.8989412291202586,-0.0020294563079015,-0.0041109117355581,-0.0061403680434596,-0.0016381644319659,0.0017869827349751,0.0001488183030092,1,0
-104.49115351437015,-112.26892693644072,-115.12769422368116,-123.47139556611508,-128.6420645751071,-114.34186825818983,-121.09876221078322,0.8888373226584205,-105.2774200604903,-112.7796478066545,-115.03532865775556,-123.64191167264958,-129.02703507506357,-114.48440924123769,-120.00381940677028,0.8872900874970467,-105.57240240341712,-113.34973446707892,-114.80148016443724,-123.80043103462609,-128.95349857149762,-114.59859807791392,-120.65488627109283,0.8886815739580365,-99.54694816033177,-107.20200884272904,-111.40205935455164,-119.45694529936038,-124.1759043523589,-110.11045265875228,-116.99015519740804,0.8867296214433453,-98.94880226246052,-106.89011236990892,-111.10282366899358,-118.8713827946567,-123.88051581754658,-109.7846356257898,-116.92410500530448,0.8862139045940247,-105.78629409755716,-112.63333172689322,-115.23165009747076,-123.30526815575912,-128.80732824566604,-114.43788996972768,-119.9201054266704,0.8884423854477251,-105.70504812250142,-113.9133556881908,-114.87786171830376,-124.08906420569076,-129.4378141106835,-114.8170806784592,-121.22406858290624,0.8870443422374086,-105.97845225035516,-113.30130759866518,-117.3016001781252,-125.41998143463508,-130.7077012125915,-116.09413664719344,-122.3861073989008,0.8881966063986573,-105.71136115475268,-113.84880039721634,-117.17827586607768,-126.35121419583966,-130.43583064626742,-116.11696841219891,-124.08308501803336,0.890222938259195,-104.87069737078644,-112.63107686634469,-115.165588240067,-123.66388148427296,-128.76186926845278,-114.5315039474234,-120.8396306502604,0.8894830790988222,-105.04527595411716,-112.7811743851816,-115.20843880069388,-124.53895673394284,-128.85355417481622,-114.49791091066716,-121.93653195179084,0.8885894661107081,-105.31350276154798,-112.73819395610228,-114.22963313444656,-123.13734036813278,-128.93343542898018,-114.26147614507455,-121.41102507528572,0.8862051628804438,-104.6271241437842,-112.66374459211627,-115.312739801885,-123.66293528741926,-129.11578816174992,-114.34694632001325,-121.47012706620468,0.8856155234615072,-105.32213563353496,-112.71873347849476,-117.32882962076012,-124.76887271388571,-129.8995626442484,-116.1175731816557,-123.32764093945296,0.8939027262136596,-104.9858608054374,-113.36720559479204,-117.96728766589531,-124.57184589332076,-129.5360145559373,-116.18055652044048,-123.23822865115702,0.896897723144558,-104.33799679196356,-112.83827451070022,-114.3807745475593,-122.83799474724486,-128.93694136135383,-114.36227364428458,-121.57845850104772,0.8869628241279368,-104.8291342568848,-112.6461287019827,-115.51873606187556,-123.4243030364048,-128.81023957449986,-114.72748015020524,-121.59222023024576,0.8906704973858108,-0.0013448499713438,0.0001860043042929,-0.0011588456670508,-0.0024569572127099,0.0035256456209438,0.0010686884082339,1,0
-112.26455226063324,-115.02069593483638,-117.27064837961552,-123.7356557573069,-129.9175508568571,-116.8374404545694,-119.83750476474768,0.8993199123904411,-113.68091805491592,-115.92016036532068,-117.21742591380377,-123.5807955872118,-130.07238595431826,-117.25403091283124,-120.14366330458049,0.9014521418405528,-111.82337047212305,-116.44923008956268,-116.99256934009266,-123.33593423888702,-129.67437233298384,-117.30735680510818,-120.334721728024,0.9046302264250096,-107.6899400716385,-111.04847565536932,-114.28954825639656,-119.48470065618696,-124.98793615782944,-113.59297067051143,-115.89535677028478,0.9088314773601116,-107.74483335167832,-109.99256667346764,-112.96696159562777,-118.97494849011063,-124.55630861299817,-112.44343606315331,-115.29497153724054,0.902751834212749,-112.0554487493364,-115.48201923023623,-117.05011402811148,-123.54740291368772,-130.34663118263273,-117.17291009223857,-119.71876808336349,0.8989331678857425,-111.5696538874548,-115.26936696944078,-117.75076203338595,-123.89226426360798,-130.1812774370217,-117.3770595023514,-120.04074919222792,0.901643168766226,-113.40016770282236,-117.57797310087386,-120.18930428513748,-125.61556143892328,-131.971665140354,-119.43902902578073,-121.6708169912162,0.9050354020975288,-112.66167147260106,-116.2119859160606,-118.65252049658106,-125.41556460508912,-131.1447394950227,-118.06837203770864,-121.50330929756274,0.9002905682098645,-111.60244735413292,-115.93764304596148,-118.26666986706064,-123.73208016891618,-130.35287776753586,-117.6915812438798,-119.68460047001028,0.9028690678679492,-111.0452250843245,-114.89033870209693,-117.59061786360644,-124.33683569158973,-130.54876036587237,-116.96537038928182,-119.15334295664688,0.8959515974068071,-113.28421819728844,-115.9547955074236,-117.24725517067893,-123.99909770200983,-130.83795850405212,-116.77129937853675,-119.80595153380057,0.8924879347985262,-114.0421340799424,-114.00714294580143,-116.2472464299471,-124.54161873242984,-130.2804485933437,-115.75848516941436,-120.12000335856786,0.8885330563355822,-113.12503691366902,-116.67375855146872,-119.0712806694754,-125.2136426414032,-131.24883902729164,-118.6236760697506,-121.26569863774736,0.903807431356282,-113.2795931451885,-115.22629190614792,-117.82396180171403,-125.52130906400552,-130.8110057577812,-117.47057516490676,-121.76172382452712,0.8980175214188283,-114.38255271081042,-115.37777634177723,-117.36813404263508,-124.00812833332824,-130.36891518268283,-116.67560660116624,-120.14699820120208,0.8949649265522497,-114.84562492220547,-114.31160995637312,-117.6060022795938,-124.57060758952318,-131.29669219799345,-116.78728814649048,-120.85940034896076,0.889491473024903,-0.0058197965885773,-0.0028663604587286,-0.008686157047306,-0.0021376873106258,0.0024378528868711,0.0003001655762453,1,0
-107.18620247220824,-112.06165484755536,-115.1997213093924,-119.87615556627802,-124.04415893603404,-114.33211784277576,-117.14898202994787,0.9217049704189096,-107.60342373693793,-112.80876830509872,-115.20090762348303,-120.97415186391612,-125.5584404717646,-114.60352701544996,-118.28207179003648,0.912750481647005,-106.80360479987638,-113.86403294306076,-115.250327857332,-120.8079290130868,-125.13835453991342,-115.02697930875262,-117.84984225153426,0.9191984322605444,-102.44560297014053,-106.6856108312711,-110.84895639112376,-114.54066734682988,-119.1340583032688,-109.63982970648392,-112.12607047939608,0.9203063445331788,-102.45079934387329,-106.76475494380236,-110.66293907354432,-113.87745078625132,-118.4565317148702,-109.45739185003649,-111.11002497792184,0.924030024055617,-107.0876860712616,-112.9602796755452,-114.9628546521314,-120.55940493516376,-125.26980449580552,-114.45420750477368,-118.27127424416402,0.91366158002271,-108.1113948059063,-113.80797522082575,-115.21650812786343,-121.00029995307692,-125.78979124752132,-115.05438651926347,-118.03936298893576,0.9146559937671463,-108.17636535160432,-112.86394273885186,-116.71356318672012,-121.40305196421453,-125.87438399297814,-115.67101950433693,-118.92955553637373,0.9189401038958775,-109.89888807508387,-114.02116602310092,-117.91199717716428,-121.14660025055704,-125.72151565823842,-116.5921479942876,-117.76303061084404,0.9273842061467974,-107.32691903148236,-112.03796676834082,-115.13272692827144,-120.50261652358692,-124.259928218674,-114.2981518579878,-118.10030969432108,0.9198311434467004,-107.48647120435248,-112.99858449241997,-115.65804832026996,-120.43746583249842,-124.38329892059656,-114.948076370114,-117.4287922723927,0.9241439756594187,-107.30872012769672,-111.83932169657656,-115.30459534594269,-120.42821051358584,-124.26440201257108,-114.53190386358818,-118.08506025345966,0.9216791133151848,-108.93522027702124,-112.23714367181532,-115.48403471763676,-120.4572351535582,-124.30660635651851,-114.73440050296388,-117.39568928629312,0.9229951960388896,-108.15877141858346,-112.59893970174912,-116.7674876176799,-120.8944859204949,-124.44934026816388,-115.59054524511674,-118.50862553929676,0.9288160547580392,-108.67581447988836,-112.93139571172082,-116.94974690525964,-120.58301820713918,-124.2065198109288,-115.69607379535316,-117.64763213789868,0.9314814872155622,-106.85918800070904,-112.09620234576732,-115.62893865702856,-120.1942303167981,-123.88272677434382,-114.46048613000757,-117.47529922289031,0.9239422566028986,-107.65036986091386,-112.47039249093866,-115.50190836882696,-120.21167047969024,-124.0108401903876,-114.55475831589638,-117.37107119340769,0.923747941228575,-0.0008397622041435,0.0022761801958193,0.0014364179916757,-0.002903519939658,-0.0002704020454023,-0.0031739219850604,1,0
-109.11696480811416,-115.26391759120946,-119.05436318351144,-122.19419949825068,-126.36098699399292,-117.37040036276532,-119.86245781265715,0.9288499809545252,-109.15351325759993,-115.54953989147698,-118.3737057895482,-122.66940713699374,-126.9363379717221,-117.1640291443053,-119.71106570708206,0.9230140952262716,-109.93280417968396,-114.64766158216575,-118.49718607096418,-122.7666772996054,-126.94532648753814,-116.93666082198598,-120.66544646496024,0.9211576673006968,-104.86919855666407,-111.20413158913033,-114.75646598167975,-117.2142969140957,-120.96759221933686,-112.89204425950936,-115.43165885376146,0.9332420542422218,-104.94336612448647,-110.42845490882182,-114.8722521362692,-116.8178700965632,-120.6891954727322,-112.66787190002452,-115.2684337070979,0.9335373515310244,-107.6059353408566,-115.45583211111374,-118.69685710146044,-122.48582432682684,-126.9816274920236,-117.55932809471584,-120.20220394673709,0.9257979316897664,-109.34249540108726,-115.05436844427942,-119.0877861833522,-122.96465719075174,-127.28960650455232,-117.62477307720224,-120.54481588483446,0.9240720928224062,-111.1944634800932,-117.61227817150076,-120.77972759218238,-123.67786291295197,-128.13835365541362,-119.17424612157308,-121.44080045082924,0.930043525001526,-111.298820762194,-116.8960779498816,-121.2545564389068,-123.81915822911654,-127.75792093596402,-119.27117155362596,-121.03324740310543,0.933571638297152,-109.85660623442509,-115.84231138297577,-119.17425314416802,-122.77167269447988,-127.16040021231257,-117.81598877485456,-120.51983622842384,0.9265147685768828,-109.80549761176474,-114.68736108929636,-118.93085607689486,-122.82406241199506,-126.96603475829636,-117.34765539445657,-120.08455875097536,0.9242444691436555,-108.94418485322754,-116.52183959341124,-119.97416406006214,-122.9270282132142,-127.06973631912412,-118.31369121154069,-120.71331738491978,0.9310926003215002,-109.30579684678268,-115.85934206621364,-119.27064525356192,-122.67364259168166,-126.67570417205717,-117.74979060154725,-119.51979879663789,0.929537288710183,-110.7902953784377,-117.4253510214938,-121.17661729870854,-123.55959569794534,-127.38734323712453,-119.29431849827512,-121.62342112547094,0.9364691614316448,-109.85810753394428,-116.42651501273794,-120.4982836479988,-123.1007680197882,-127.19813995437636,-118.58613593113546,-120.91688206165723,0.9322945757985936,-109.55304385569666,-115.23568327471332,-120.00275055045236,-122.38810262214378,-126.6653646723232,-117.7682866542961,-120.18119904520675,0.9297591883855276,-109.41730751288226,-115.37593337013898,-119.52370360997328,-122.4465656138574,-126.9471078389894,-117.76041376519682,-119.94263919081506,0.9276336875240646,0.0005042320295929,-0.001022225302386,-0.000517993272793,-0.0016938988455994,0.0002133168863558,-0.0014805819592436,1,0
-107.11973933098662,-115.76703990831692,-115.64247537689428,-122.75225767577253,-127.51303405802793,-115.58923107935205,-121.80997904074226,0.9064895360167678,-107.21752837394124,-118.42830998084264,-115.36541301425925,-123.0415564034596,-128.39511470168793,-116.81283985490846,-121.7931073117984,0.909791935046052,-106.35804330523328,-118.00452376003848,-115.44150194958128,-123.16333126488811,-128.76458790090828,-116.87588200990696,-121.82060356611927,0.9076709980219844,-102.83414515653058,-112.05653780827907,-112.20317702897538,-118.29243604145728,-122.73195199734998,-112.10102183662929,-117.47975793358108,0.913380908657346,-101.95564594739908,-111.23695209045862,-111.80249894569384,-117.86825468067246,-122.0910272257657,-111.62058414995572,-117.01621496119006,0.9142406832530906,-107.69316354529828,-116.22030606626008,-114.956750725407,-122.84511091655976,-128.88458093707624,-115.63212225320702,-122.51452789211888,0.8971757630934976,-106.29110516865305,-117.46698244107756,-115.97090053902636,-123.4687104933782,-128.86316271472072,-116.87269745074748,-122.186004718567,0.9069519557694083,-109.7607688905759,-117.5169156252889,-117.40408241235092,-124.638751915283,-129.26204469761345,-117.41977341847308,-123.57534173352389,0.9083855488527716,-107.4669451116898,-117.37308597744445,-118.69703204603546,-124.90521536459288,-129.40141603171668,-118.36198890037768,-124.2854816832884,0.914688513697306,-108.30303643511748,-116.0087475941278,-115.19543353073516,-123.29748348950883,-127.5568293768813,-115.37736927161475,-121.93051574057134,0.9045173812741856,-107.4821971970641,-115.91849191397206,-116.89609966667577,-123.45198192070066,-127.79714095507576,-116.4392142690095,-122.42349609125716,0.9111253459883044,-108.3238559031472,-115.27457524920716,-115.2222381473446,-123.14221780098794,-127.66417519579105,-114.66873927605717,-122.43177625897708,0.8982060871830055,-107.44625811798572,-115.24936314340287,-115.19644937881972,-122.47072411681292,-127.95168550817304,-114.88166280689454,-121.17575118955048,0.8978518911308626,-108.7489893891506,-116.3275884268578,-117.5320704313723,-123.96094213314248,-127.89670529112097,-116.58350716717828,-122.8217418183829,0.9115442567641492,-108.46152623424864,-115.7970536739947,-116.62283198293632,-123.79798412312324,-128.07224475202918,-116.10256070867574,-123.5275970717894,0.9065395935979034,-107.9166030984969,-115.20768871969442,-115.35897194032448,-122.82689320380862,-127.20657751217556,-114.66367848044187,-121.80376565567089,0.901397401950122,-107.656017421254,-114.18551606212397,-116.4141542907705,-122.86452894398406,-127.6693001303612,-115.0140554155552,-122.17398102549002,0.90087480152328,-0.0017886961191414,0.0073275664670371,0.0055388703478957,-0.0017961556577758,0.00062613481628,-0.0011700208414958,1,0
